id,nome,telefone,email,endereco,cidade,estado,data_nascimento,idade,genero,graduacao,peso,equipe,professor,responsavel,cpf,fotoResp,createdAt,updatedAt
1,Carlos Silva,11997421609,carlos@email.com,Rua 10,Cidade A,SP,1990-04-16,34,Masculino,Branca,50,Equipe Alpha,Prof. Ricardo,,,,2025-04-03T21:01:05.737063,2025-04-03T21:01:05.737063
2,João Oliveira,11998567432,joao@email.com,Rua 22,Cidade B,RJ,1985-06-21,39,Masculino,Branca,50,Equipe Beta,Prof. André,,,,2025-04-03T21:01:05.737091,2025-04-03T21:01:05.737091
3,Pedro Santos,11969784512,pedros@email.com,Rua 35,Cidade C,MG,2003-08-14,21,Masculino,Branca,50,Equipe Gamma,Prof. Cláudio,,,,2025-04-03T21:01:05.737106,2025-04-03T21:01:05.737106
4,André Ferreira,11975487823,andre@email.com,Rua 12,Cidade D,BA,1997-02-09,27,Masculino,Branca,50,Equipe Delta,Prof. Roberto,,,,2025-04-03T21:01:05.737118,2025-04-03T21:01:05.737118
5,Mariana Costa,11926649834,marianac@email.com,Rua 47,Cidade E,PR,2008-04-08,16,Feminino,Branca,50,Equipe Omega,Prof. Ricardo,Responsável Mariana Costa,12345678901,/imagens/mariana_responsavel.jpg,2025-04-03T21:01:05.737131,2025-04-03T21:01:05.737131
6,Ana Lima,11912657819,ana@email.com,Rua 30,Cidade F,CE,2010-10-12,14,Feminino,Branca,50,Equipe Alpha,Prof. André,Responsável Ana Lima,23456789012,/imagens/ana_responsavel.jpg,2025-04-03T21:01:05.737144,2025-04-03T21:01:05.737144
7,Paula Nunes,11911542932,paulan@email.com,Rua 5,Cidade G,SP,2012-06-01,12,Feminino,Branca,50,Equipe Beta,Prof. Cláudio,Responsável Paula Nunes,34567890123,/imagens/paula_responsavel.jpg,2025-04-03T21:01:05.737156,2025-04-03T21:01:05.737156
8,Alice Rocha,11966544725,alice@email.com,Rua 66,Cidade H,SC,2009-07-03,15,Feminino,Branca,50,Equipe Delta,Prof. Roberto,Responsável Alice Rocha,45678901234,/imagens/alice_responsavel.jpg,2025-04-03T21:01:05.737170,2025-04-03T21:01:05.737170
9,Lucas Lima,11962141310,lucasl@email.com,Rua 21,Cidade I,DF,2013-03-30,11,Masculino,Branca,50,Equipe Omega,Prof. Marcos,Responsável Lucas Lima,56789012345,/imagens/lucas_responsavel.jpg,2025-04-03T21:01:05.737184,2025-04-03T21:01:05.737184
10,Henrique Ramos,11937849465,henrique@email.com,Rua 9,Cidade J,PB,1992-09-11,32,Masculino,Branca,50,Equipe Gamma,Prof. Ricardo,,,,2025-04-03T21:01:05.737195,2025-04-03T21:01:05.737195
11,Matheus Nogueira,11941256955,matheus@email.com,Rua 77,Cidade K,PE,1987-12-25,37,Masculino,Branca,50,Equipe Alpha,Prof. André,,,,2025-04-03T21:01:05.737207,2025-04-03T21:01:05.737207
12,Renato Souza,11940683482,renato@email.com,Rua 39,Cidade L,GO,2001-05-17,23,Masculino,Branca,50,Equipe Beta,Prof. Cláudio,,,,2025-04-03T21:01:05.737217,2025-04-03T21:01:05.737217
13,Thiago Pereira,11922564004,thiago@email.com,Rua 24,Cidade M,MS,1995-01-07,29,Masculino,Branca,50,Equipe Delta,Prof. Roberto,,,,2025-04-03T21:01:05.737229,2025-04-03T21:01:05.737229
14,Julia Ramos,11985668472,julia@email.com,Rua 22,Cidade N,PA,2007-11-21,17,Feminino,Branca,50,Equipe Gamma,Prof. Ricardo,Responsável Julia Ramos,67890123456,/imagens/julia_responsavel.jpg,2025-04-03T21:01:05.737240,2025-04-03T21:01:05.737240
15,Ricardo Alves,11954087304,ricardo@email.com,Rua 74,Cidade O,TO,1984-07-19,40,Masculino,Branca,50,Equipe Omega,Prof. André,,,,2025-04-03T21:01:05.737253,2025-04-03T21:01:05.737253
16,Bruno Ferreira,11954938488,bruno@email.com,Rua 16,Cidade P,MA,1998-03-22,26,Masculino,Branca,50,Equipe Alpha,Prof. Roberto,,,,2025-04-03T21:01:05.737264,2025-04-03T21:01:05.737264
